NYR1,NYR2,NYR3,NYR4,NYR5
start rebuilding muscle tone by using hand weights several times per week,do other body strengthening exercises several times a week,reduce the amount I smoke,be more positive and motivated,increase my income
Run/go to the gym more,eat super clean,drink much less,keep up with mTurk on the side,land a new job
Do everything I can to run a marathon,Have fewer than 10 drinks per week,set up a temptation-related challenge every month,establish a daily meditation habit,Make more friends
eat healthy,move to another city,travel more,get a new degree,make new friends
Pay down debt without taking on new debt,Continue to exercise and get back to my previous levels of diet and exercise.,Find a way to volunteer time or contribute positively to my community.,Begin looking for other career opportunities,Make substantial gains in making repairs to my house.
"I need to loose more weight because I am Insulin Resistant.  I had a loss of five pounds since the diagnosis in August, but need to loose more.  It was up a little after the holidays and I am on a blood-sugar regulater that also helps with weight loss but I need to do a lot more.  It has also been an up and down roller-coaster where weight is concerned due to anxiety and depression.","My boyfriend has had child support dumped on him out of the blue and we both Turk to meet the payments.  He absolutely goes into a frenzy when he thinks he isn't going to make his monthly goal which also effects me.  I need to find something, perhaps from the home since trying and trying to find something outside the home has not been good to me at all, that I can do to make our income more level so he doesn't have anything to take out on me.","I have tried and tried to get him to seek help for his emotional ups and downs and I am now thinking I need to just back off, become more so that his issues he has with child support, etc. all don't effect me when he gets like he does and allow it to as my father used to say- "" fall off of me like water off of a duck's back."" IE- Keep the calm and bounce off of me and not effect me.","I am Episcopalian and all the setbacks I have had in my life since 2010 have un-rooted, and unsettled me enough that I have been wondering where my actual vocation, or calling actually is as most everything except for Amazon Turk, and sometimes that as well- hasn't been working. Need to start working to figure that out this year.","Need to become more financially stable, although this is probably a re-statement in some ways of #2, although I hope not!  Also need to begin to clear up a credit report."
Get into shape,walk/run everyday,lose weight,build strength,no getting sick
No smoking,No drinking,Stay focus,Execute goals,No procrastination
Finish school,Become a vegetation,Find a job,Travel Europe,Not use social media
Lose weight,Be organized,exercise more,walk more,read more
Settle lawsuit that I have been involved in for eleven years.,Do my best to save my belongings in storage from being sold due to overdue payments.,Return to athletic activities I have had to put aside for a few years due to difficult life situation.,Pay off all my debts.,Reinstate in active status in my professional career.
Be more clean/organized,Try to develop my creative skills,Find a new job/a career,Eat healthier,Save $2000 by the end of the year
Spend more time with family,Make the time to take a vacation in the summer at the beach,Read 12 books,Complete my certification,Save money every month
loose weight,be more tolerant,visit my parents,travel to an island,save mor
lose weight,get a budget,plan ahead,read more,save more
eat more heathy,run more,lift weights,stay close to friends and family,save more money
Excercise more,eat healthier,not to worry as much,let hurtful things go,spend more time with my family and friends.
Get serious about writing.,Finish and do well on my two college courses.,Read more.,Stop drinking sodas.,Take better care of my skin.
Be more positive in the face of negativity.,Learn and act like a financially independent person.,Take the time to read 4 books a week.,Do more to leave a healthy lifestyle.,Take chances in my career to move forward to a higher pay scale.
to quit smoking,to work out more,to loose 15 pounds by next year,to be more ambitious,to be more humble
To devote more time and energy towards physical exercise.,To actively seek more freelance work.,To paint more.,To procrastinate less.,To collaborate more with others on artistic projects.
To lose 40 pounds,To sell my house,To exercise for 30 minutes 6 times a week,To volunteer with animal rescue again.,To continue my short story writing
To stop smoking,To stop drinking,To do yoga every day,To make more money on Mturk,To do my art
"To lose 30 pounds by August 1, 2016",To eat healthier foods,To exercise more,To eat less meat,To finish decorating my new house.
To have more sales on Etsy.,To start exercising more for health reasons-not weightloss.,To take my vitamins everyday on time.,To work online more and save more money.,To go to larger craft shows and reach a larger market this year.
To get more exercise and get in shape.,To stop procrastination and get work done.,T waste less money.,To eat healthier.,To have more self-control with other aspects of my life.
To make my wife less insecure,To get money and work a lot more than i do now,To buy the Oculus rift,To watch my  baby daughter grow,To love my wife more
quit smoking,to get a new job.,to be a good person to other people,change my  attitudes.,to own a house.
To start eating healthier.,To stop eating bread and substitute more green veggies in it's place.,To start working for myself selling via e-commerce.,"To become more emotionally free and independent from men mostly, and others.",To travel and visit more countries.
To lose weight by doing zumba fitness,To get healthier by eating a healthier diet,To learn spanish by working on it at least 3 times a week,To finish my last two classes for my college degree,To work on my relationship with my husband
Gain weight and work out more.,"Get out of debt, or at least reduce it by 50%.",Work on my credit.,Fall in love.,Travel far and wide.
make many friends,be a good  boy,I don''t eat more rice,study harder,wake up earlier
GET super fit,eATH super HEALTHY,mAKE MONEY,HAVE LOTS OF GIRLFRIENDS,WRITE A BOOK
